
[00:00:00.000 --> 00:00:29.980]   The End of the Day
[00:39:19.140 --> 00:39:24.180]   about the market? All right, we live here. We have to pay bills. We have to take care of our children.
[00:39:24.180 --> 00:39:30.580]   But the reason why he says don't be entangled with that, there's a difference between paying your bills
[00:39:30.580 --> 00:39:35.220]   and caring for your children. But he says no one is entangled with that. In other words, he's so
[00:39:35.220 --> 00:39:40.420]   wrapped up in his thought and his passion and his desire and his goals with the everyday life that he
[00:39:40.420 --> 00:39:48.660]   forgets that he's a soldier in God's kingdom. No soldier in active service entangles himself with
[00:39:48.660 --> 00:39:55.540]   affairs of everyday life so that he may please the one who enlisted him as a soldier. Now obviously he's
[00:39:55.540 --> 00:40:00.900]   talking to Timothy who's being prepared to be a pastor at the church of Ephesus where false teachers
[00:40:00.900 --> 00:40:08.500]   are coming in and they're ruining the church. But this same command is for every Christian in every
[00:40:08.500 --> 00:40:20.020]   generation. In 1 Timothy 6:12, Paul says, "Fight the good fight." Right? Fight the good fight. Not relax,
[00:40:21.220 --> 00:40:27.540]   not be secure in a security blanket of, you know, one saved always saved, but it says fight the good fight.
[00:40:27.540 --> 00:40:36.260]   How many of us in here can say I'm fighting? And what are you fighting? What are you struggling with?
[00:40:36.260 --> 00:40:43.060]   I think all of us can say at times we struggle to pay the bills, we struggle with our marriages, we struggle
[00:40:43.060 --> 00:40:50.500]   with raising children. Like all of these things are what the whole world struggles with. Everybody,
[00:40:50.500 --> 00:40:56.820]   Christian, non-Christian, Buddhist, they all struggle with that. But what is unique about your fight?
[00:40:56.820 --> 00:41:02.580]   What is unique for a Christian? Obviously he's not talking about fight the good fight, meaning
[00:41:02.580 --> 00:41:08.260]   just be a good dad and just be a good father. The whole world struggles with that.
[00:41:09.220 --> 00:41:14.260]   And a good Christian should struggle with that. But is that what he's in reference to when he says fight
[00:41:14.260 --> 00:41:23.060]   the good fight? No. In fact, 2 Timothy 4:7, at the end of his life, as he is facing death, he says, "I have
[00:41:23.060 --> 00:41:31.140]   fought the good fight." So follow me as I follow Christ. And what does that look like? Apostle Paul poured his
[00:41:31.140 --> 00:41:37.780]   life out. This guy lived a comfortable, educated, well-connected Roman citizen who was already pretty
[00:41:37.780 --> 00:41:44.180]   wealthy and famous before he met Christ. And then because he met Christ, he lost everything. And then
[00:41:44.180 --> 00:41:49.700]   he calls other people to come follow him. So when he says, "I have fought the good fight," it's because
[00:41:49.700 --> 00:41:57.860]   he lived every single day risking his life, risking his comfort and safety, forsaking all the comforts of this
[00:41:57.860 --> 00:42:06.020]   world in order to bring the gospel to the world, just like Christ did. 2 Corinthians 10:3-4, "For though
[00:42:06.020 --> 00:42:12.020]   we walk in the flesh, we do not war according to the flesh." War. 2 Corinthians is written to the whole
[00:42:12.020 --> 00:42:17.940]   church, not to a pastor, not to missionaries, to the whole church. And he describes it as warring.
[00:42:18.820 --> 00:42:23.380]   "We do not war according to the flesh, for the weapons of our warfare are not of the flesh,
[00:42:23.380 --> 00:42:28.580]   but divinely powerful for the destruction of fortresses." You know, I just found out
[00:42:28.580 --> 00:42:39.300]   that in the 20th century, there has been more martyrs in the 20th century than in the last 2,000 years
[00:42:39.300 --> 00:42:45.060]   combined. Well, I had to look that up and say, "Is that true?" Now, obviously, there's a lot more people
[00:42:45.060 --> 00:42:52.340]   that live today, but there are slaughters happening by the thousands all over the world. We just don't
[00:42:52.340 --> 00:42:57.700]   hear about it. Just dig a little bit and you find out. And I was surprised, and I knew that there was a
[00:42:57.700 --> 00:43:02.580]   persecution for Christians has been rising in our generation, but I was really surprised to find that
[00:43:02.580 --> 00:43:10.020]   in the recent years, right, the suffering toward Christians, the hostility toward Christians has been
[00:43:10.020 --> 00:43:18.900]   growing all over the world. We are in a fight. And so, before we even jump into the text,
[00:43:18.900 --> 00:43:27.540]   if we're not in the fight, if the fight, if you think the fight is the pastors, the missionaries,
[00:43:27.540 --> 00:43:31.460]   some people who are gifted. I'm glad that we have some people who go out to the marketplace and they're
[00:43:31.460 --> 00:43:35.700]   sharing the gospel, and we want to cheer them on. We want to pray for them. They're doing the front
[00:43:35.700 --> 00:43:43.700]   line work, but we sit in the back seat just applauding them. So, your mind and heart is not engaged. The
[00:43:43.700 --> 00:43:49.940]   Bible says wherever your treasure is, there your heart is. So, your treasure is in the everyday concerns.
[00:43:49.940 --> 00:43:55.460]   So, your heart is not there in the front line. You're just kind of like, "Yes, we admire you.
[00:43:55.460 --> 00:44:01.380]   We want to cheer you on." But if we're not engaged in the fight, the scripture isn't going to make a lot of
[00:44:01.380 --> 00:44:07.220]   sense to you. It's not going to make a lot of sense to you because the scripture is here to tell us why
[00:44:07.220 --> 00:44:13.140]   he had to come. The scripture is here to tell us what we ought to do, how we ought to speak, how we ought to
[00:44:13.140 --> 00:44:21.380]   pray, why we ought to pray, all for what purpose? To seek and save the lost for his glory. So, if our life
[00:44:21.380 --> 00:44:30.340]   and our commitment is disengaged, and the only way that we're engaged is by theology, by theory, by talk,
[00:44:30.340 --> 00:44:38.100]   by assenting. I agree with that. You assent with your mind, but your heart and your life is going to be
[00:44:38.100 --> 00:44:45.140]   disengaged. And how you evaluate what is good and what is bad is going to be completely off. Because we're
[00:44:45.140 --> 00:44:49.380]   not on the same page. What I would look at and say, "That's good," and what I look at and what you say is good,
[00:44:49.380 --> 00:44:54.900]   is going to be different because what you value is different. And I'm here to tell you that this is
[00:44:54.900 --> 00:45:01.620]   Christ. That everything that you read from book of Genesis to Revelation is in the context of God
[00:45:01.620 --> 00:45:09.140]   pursuing sinners and then calling us to join him to pursue sinners. And that's why he tells us that
[00:45:09.140 --> 00:45:15.060]   because they hated me for what I said, they will hate you for what you say. They will love you for what you do.
[00:45:16.500 --> 00:45:21.060]   They will love you for being gracious and merciful. They will love you for being generous.
[00:45:21.060 --> 00:45:23.620]   But they will hate you for what you say.
[00:45:23.620 --> 00:45:29.140]   It is in this context where he was telling his disciples,
[00:45:29.140 --> 00:45:30.820]   suffering is coming.
[00:45:32.100 --> 00:45:36.020]   And then even at the end he says, "Sell everything." Right? Because he's preparing for war.
[00:45:36.020 --> 00:45:43.700]   Right? He's preparing them for war. Don't be bogged down by this stuff. Sell everything and come follow me.
[00:45:43.700 --> 00:45:51.060]   Live like dead men because you are. And it's in that context he says in verse 35,
[00:45:51.700 --> 00:45:56.260]   "Be dressed in readiness and keep your lamps lit." Right?
[00:45:56.260 --> 00:46:03.380]   "Dressed in readiness" basically literally means to gird up your loins. So if you've been in certain parts of the world, whether in the Middle East or
[00:46:03.380 --> 00:46:09.140]   in particular in areas of India where the men, I don't, I forgot what that is called, but it looks like a skirt.
[00:46:09.700 --> 00:46:16.100]   Right? And gird up your loins basically is normally they can't use it. It's comfortable. It's not as hot.
[00:46:16.100 --> 00:46:21.620]   But when you're ready to work or do something, they would pull that up and then tie it around their waist.
[00:46:21.620 --> 00:46:26.820]   And basically it becomes a pants or short pants. And that's a literal image that he's giving.
[00:46:26.820 --> 00:46:32.740]   He says, "Gird up your loins." Right? "Put on your pants that get ready for work."
[00:46:32.740 --> 00:46:41.780]   Ephesians 6:13, "Take up the full armor of God so that you will be able to resist in the evil day
[00:46:41.780 --> 00:46:49.940]   and having done everything to stand firm." Why would you need to put on the full armor of God if you're not engaged in battle?
[00:46:49.940 --> 00:46:55.460]   Right? You're not being attacked. You're not going to enemy territory. No one wants to hurt you.
[00:46:55.460 --> 00:46:58.420]   Everybody's praying. Why would you need to put on the full armor of God?
[00:46:58.420 --> 00:47:02.900]   Right? Did you need to put on the full armor of God to come to church today?
[00:47:02.900 --> 00:47:07.460]   Did you need to put on the full armor of God to attend Bible study?
[00:47:07.460 --> 00:47:12.980]   Did you need to put on the full armor of God when you're studying or reading the reading scripture?
[00:47:12.980 --> 00:47:17.140]   No. He said, "Put on the full armor of God because we're going to engage the darkness."
[00:47:18.340 --> 00:47:21.380]   And they're going to push back. And they don't want you to succeed.
[00:47:21.380 --> 00:47:29.380]   Put on the full armor of God. 2 Timothy 4:1-2, "I solemnly charge you in the presence of God
[00:47:29.380 --> 00:47:35.220]   and of Christ Jesus." That word for charge in Greek is a military term. And he's calling
[00:47:35.220 --> 00:47:41.860]   Timothy to battle. "I charge you. I command you in the presence of God and of Christ Jesus,
[00:47:41.860 --> 00:47:45.140]   who is to judge the living and the dead, and by his appearance and his kingdom,
[00:47:45.140 --> 00:47:49.300]   preach their word. Be ready in season and out of season, whether they receive you or not,
[00:47:49.300 --> 00:47:55.620]   whether they thank you, whether they convert or not, whether they love you or they hate you or kill you.
[00:47:55.620 --> 00:48:03.060]   Be ready in season and out of season. Reprove, rebuke, exhort with great patience and instruction."
[00:48:04.180 --> 00:48:11.300]   When we're not engaged in the Great Commission and the work of Christ, why do you need to be ready?
[00:48:11.300 --> 00:48:16.500]   What do you need to be equipped for? 1 Peter 3:15, "Sanctify Christ as Lord in your heart,
[00:48:16.500 --> 00:48:21.620]   always being ready to make a defense to everyone who asks you to give an account for the hope that
[00:48:21.620 --> 00:48:27.140]   is in you, yet with gentleness and reverence." Live your life in such a way, in soberness.
[00:48:27.140 --> 00:48:34.340]   Gird up your loins, so that when it is time to fight, that you will be ready. If you're constantly
[00:48:34.340 --> 00:48:40.100]   concerned about the affairs of this life, when the opportunity comes to share the gospel, you're not
[00:48:40.100 --> 00:48:48.420]   going to be ready, right? There's been times when I got so wrapped up in watching Lakers, right?
[00:48:48.420 --> 00:48:54.500]   And not recently, but many years ago, right? And there looked like they lost to the Celtics, and the
[00:48:54.500 --> 00:48:58.980]   second time they come around there, and I got so wrapped up into that. And I remember the first time
[00:48:58.980 --> 00:49:06.340]   watching it, I was so depressed. And I was asking myself, "Why are you so depressed over this game?
[00:49:06.340 --> 00:49:11.140]   It has nothing. They're not going to pay me for this." Right? And then the second time they won,
[00:49:11.140 --> 00:49:20.660]   I was so elated. And I remember thinking how foolish and trivial. Like my emotions, my whole being,
[00:49:20.660 --> 00:49:28.580]   my happiness was wrapped up in this silly game. Right? And I remember, during that time, somebody would
[00:49:28.580 --> 00:49:32.740]   come to me and it's like, "Oh man, you know, like, you know, what's going on in this world? Why is there so
[00:49:32.740 --> 00:49:38.740]   much disasters?" And then I would hear it, and it's like, "Yeah, oh yeah, did you watch that game?"
[00:49:38.740 --> 00:49:42.980]   Because that's what I want to talk about, because that's where my heart is.
[00:49:42.980 --> 00:49:48.180]   How often in our distraction, and I'm not saying that you can't watch
[00:49:48.180 --> 00:49:52.660]   baseball games, I'm not saying you can't watch basketball games, but how much of it entangles
[00:49:52.660 --> 00:49:59.620]   our heart where we're not ready, that we're not thinking. If you are sober and thinking,
[00:49:59.620 --> 00:50:09.060]   you'd be surprised how often, you'd be surprised how big the harvest is, and how few people there are.
[00:50:09.060 --> 00:50:13.860]   You'd be surprised in Orange County, where there's a mega church, 10 minute driving distance, in any
[00:50:13.860 --> 00:50:18.660]   direction, where you can sit down with somebody and ask them what the gospel is, and they don't know.
[00:50:18.660 --> 00:50:26.100]   In Orange County, in this area, they say, "Oh yeah, I know the gospel," and you ask them,
[00:50:26.100 --> 00:50:32.100]   "What is the gospel?" and they can't tell you. They don't know. The harvest is plentiful, but the workers
[00:50:32.100 --> 00:50:39.780]   are few, because we're so wrapped up in civilian affairs that we're not ready, we're not prepared.
[00:50:41.540 --> 00:50:46.340]   1 Timothy 3:15, "But sanctify Christ as Lord in your heart, always being ready, always being
[00:50:46.340 --> 00:50:50.900]   ready to make a defense to everyone who asks you to give an account for the hope that is in you, yet
[00:50:50.900 --> 00:51:00.420]   with gentleness and reverence." I mentioned Charlie Kirk last week, right, which I am more convinced
[00:51:00.420 --> 00:51:05.140]   today that he was a martyr than I was even last week, right? And I can't stop watching this videos.
[00:51:08.100 --> 00:51:13.780]   His death has caused a stir in our society all over the world, where the opportunity of the gospel
[00:51:13.780 --> 00:51:18.660]   has been opened up, and I hope that you are aware of it. You know, just this week, I was out, and I
[00:51:18.660 --> 00:51:24.020]   shared with some of the people that I met this week, but we're out there, and we're sharing the gospel at
[00:51:24.020 --> 00:51:29.700]   Spectrum, and there's four teenagers, about 15, 16-year-olds, together looking at their phones.
[00:51:31.220 --> 00:51:34.580]   Typically, if I'm out street evangelism, they're the last people I would target.
[00:51:34.580 --> 00:51:41.540]   Can you imagine four 15, 16-year-olds sitting together, goofing around, and I was walking by,
[00:51:41.540 --> 00:51:45.700]   I said, "You know, I'm going to try something different today," right? So I went up to them,
[00:51:45.700 --> 00:51:52.420]   and one of the kids at the end, he has this surfer hair, and I said, "Hey, do you guys have a couple
[00:51:52.420 --> 00:51:55.860]   minutes?" Obviously, they kind of side-eyed me, and they're looking at their phones, like, "What this
[00:51:55.860 --> 00:52:00.180]   crazy guy is thinking is?" And I started out, my typical thing that I would say is, "Hey, do you have a
[00:52:00.180 --> 00:52:04.580]   couple minutes I can share with you about my faith?" And obviously, they looked at me kind of like, "Huh?"
[00:52:04.580 --> 00:52:11.540]   And obviously, I was going to, this is what I was expecting, right? So I thought, "Maybe I better
[00:52:11.540 --> 00:52:15.780]   say something to grab their attention, or this is going to go bad," right? And I said, "What do you think
[00:52:15.780 --> 00:52:21.540]   about Charlie Kirk?" As soon as I mentioned his name, all four kids stood up from their seat, and they
[00:52:21.540 --> 00:52:29.140]   came around me. I said, "Oh, shoot." And then I said, "What do you think?" And they said,
[00:52:29.140 --> 00:52:36.580]   "What happened to him was horrible." And one of the kids said, "I've actually been following him."
[00:52:36.580 --> 00:52:42.420]   And I said, "What do you think?" He's very logical, what he is saying. And so I just assumed,
[00:52:42.420 --> 00:52:46.660]   maybe he's conservative, maybe he's a Christian. And I said, "Oh, you guys go to church? Are you
[00:52:46.660 --> 00:52:53.140]   Christian?" And he said, "No." To my surprise. I said, "Oh, so you weren't raised in a Christian home?" No.
[00:52:53.140 --> 00:52:58.820]   I said, "So what do you think about what Charlie is saying?" So if you've been watching his video,
[00:52:58.820 --> 00:53:02.660]   you know, especially the last four or five years, how explicit he was about his faith. And he talked
[00:53:02.660 --> 00:53:09.380]   about repentance and coming to Jesus. His number one goal in life is to bring people to Jesus. And his number
[00:53:09.380 --> 00:53:13.940]   two goal was to make sure that our country is a place where Jesus can be shared freely.
[00:53:13.940 --> 00:53:19.460]   And that's how he brought the Christianity and politics together. And I asked him, "So what do you
[00:53:19.460 --> 00:53:27.700]   think about that?" And then he said, "I need to read my Bible more." So easy to share the gospel.
[00:53:27.700 --> 00:53:34.580]   Right? I said, "What do you think about this?" And then all I said, "Hey, there's 4,500 hours of him
[00:53:34.580 --> 00:53:40.020]   discussing, giving his testimony. You read?" He said, "Yeah." And they said, "We're going to go watch it."
[00:53:40.020 --> 00:53:44.500]   Right? And then their dad called to pick them up, so they had to leave quickly.
[00:53:47.620 --> 00:53:51.060]   After that, I got up and I went to the next person. And the next person, I didn't even hesitate,
[00:53:51.060 --> 00:53:52.180]   "Do you know Charlie Kirk?"
[00:53:52.180 --> 00:54:02.980]   And they were engaged. So I had good conversation. Because it started out, I could tell that either
[00:54:02.980 --> 00:54:06.740]   they're nominal, or they're not a Christian, or maybe they are a Christian. But, you know,
[00:54:06.740 --> 00:54:10.660]   it was so easy to bring the gospel in, because all I have to do is say, "Hey, remember the things
[00:54:10.660 --> 00:54:15.860]   that he was saying?" He's like, "Yeah, that guy was very explicit about the gospel." Right? That's why I'm
[00:54:15.860 --> 00:54:19.460]   saying, telling you today, I am more convinced. I don't know what you are thinking about politics,
[00:54:19.460 --> 00:54:22.340]   but I am more convinced today that he was martyred for his faith.
[00:54:22.340 --> 00:54:29.380]   We live in a time right now, there is a stirring that's going on in our country,
[00:54:29.380 --> 00:54:34.980]   that if you are living in a peacetime, a bunker mentality, you're going to miss it.
[00:54:34.980 --> 00:54:40.420]   You may have relatives, you may have co-workers who have that in the forefront. And even if they are
[00:54:40.420 --> 00:54:45.780]   hostile toward what he was saying, an open door has been opened to engage the world.
[00:54:45.780 --> 00:54:55.300]   You know, it's crazy that he said that his life goal was to have 20,000 turning point to open up
[00:54:55.300 --> 00:55:02.340]   around the world. 20,000. Because they were maybe around 3,000 or 4,000. As soon as he was martyred,
[00:55:02.340 --> 00:55:10.020]   shot. Three days later, there was 18,000 inquiries. Four or five days later, I hear there's 32,000. And then
[00:55:10.020 --> 00:55:15.380]   another four or five days later, I hear there's 52,000. This morning, you know what they said? 62,000
[00:55:15.380 --> 00:55:22.740]   inquiries came in asking permission if they can open up turning point. And again, it's not about turning
[00:55:22.740 --> 00:55:31.620]   point. But this young man, 31-year-old, connected what he was doing with the gospel. So if you go to
[00:55:31.620 --> 00:55:38.180]   that, there's going to be an introduction to Christ. This has happened. This is something that you and I
[00:55:38.180 --> 00:55:44.900]   could not have, we could have worked all our life, and this was, this is God's doing. The fact that the
[00:55:44.900 --> 00:55:51.700]   door has been opened, and if you do not take advantage of this now, when will you, when will
[00:55:51.700 --> 00:55:57.780]   you engage the world if you will not engage the world now? What will it take for us to open our eyes
[00:55:57.780 --> 00:56:04.740]   and see why we are here? What the purpose is? What is our mission? When the door has been kicked wide open
[00:56:04.740 --> 00:56:10.500]   for us to go. Whatever you think of Charlie, the door has been opened. The groundwork has been laid.
[00:56:10.500 --> 00:56:16.980]   Almost a red carpet has been given out to you. And Jesus says, come. What will it take for us to take
[00:56:16.980 --> 00:56:24.660]   advantage of that? He said, gird up your loins. And he says, make sure to keep the lamp lit. To keep the
[00:56:24.660 --> 00:56:32.100]   lamp lit basically means to stay awake. To stay awake. Today, if we want to go to sleep, all we have to do is
[00:56:32.100 --> 00:56:39.540]   flip the switch. Or maybe clap on, clap off. It's for our generation, right? Or maybe you have a
[00:56:39.540 --> 00:56:46.180]   smartphone. At that time, to keep the light lit, you have to cultivate the oil. So you have to keep
[00:56:46.180 --> 00:56:51.380]   pouring the oil to get in. And then if the wick burns out, you have to cut the, cut the ashes off,
[00:56:51.380 --> 00:56:55.780]   and you have to put a new one, and you have to keep lighting it. So the light needs constant cultivation.
[00:56:56.740 --> 00:57:01.540]   So when he says, keep the light lit, he's not just saying, you know, don't turn it off. He said,
[00:57:01.540 --> 00:57:08.660]   you have to cultivate it to keep it on. Because it is not time to sleep. 1 Thessalonians 5, 6 through 8.
[00:57:08.660 --> 00:57:14.420]   So then let us not sleep as others do, but let us be alert and sober. For those who sleep,
[00:57:14.420 --> 00:57:19.140]   do their sleeping at night. And those who get drunk, get drunk at night. But since we are of the day,
[00:57:19.140 --> 00:57:24.580]   let us be sober, having put on the breastplate of faith, love, and helmet of hope of salvation.
[00:57:24.580 --> 00:57:29.460]   He said, it is not time for us to sleep.
[00:57:29.460 --> 00:57:34.180]   Yes, there are times we need to rest. We need to take a break.
[00:57:34.180 --> 00:57:40.180]   In other words, it's not time to sleep because we have been given a great commission. We're in time of war.
[00:57:41.940 --> 00:57:47.700]   I will build my church and the gates of Hades will not prevail against it. In other words, take up your
[00:57:47.700 --> 00:57:55.060]   cross and follow me to the darkness. So we can turn on the light. We can share the good news that more
[00:57:55.060 --> 00:58:01.860]   people may come to know Jesus Christ. But if we have a bunker mentality, as long as our children are safe,
[00:58:01.860 --> 00:58:06.020]   and we're protecting our children, that somehow that becomes the greatest mission of life,
[00:58:06.020 --> 00:58:12.020]   that you're not going to understand the Lord's heart. The Word of God is going to get choked
[00:58:12.020 --> 00:58:18.420]   eventually. He says in 1 Peter 5:7-8, "Cast all your anxiety on him because he cares for you.
[00:58:18.420 --> 00:58:24.100]   Be of sober spirit. Be on the alert for your adversary, the devil, prowls around like a roaring
[00:58:24.100 --> 00:58:30.660]   lion seeking someone to devour." He said that our enemy is not sleeping. That's why you can't sleep.
[00:58:30.660 --> 00:58:38.900]   Our enemy is pronging around like a roaring lion. Who is he trying to devour? Anyone who wants to turn
[00:58:38.900 --> 00:58:46.980]   on the light. Anyone who's going to the gates of Hades. So the owner of Hades is not going to sit there
[00:58:46.980 --> 00:58:56.740]   and be okay with that. He says you need to stay awake. Keep the light lit because we're in time of war.
[00:58:57.620 --> 00:59:02.340]   In Matthew 24:37-38, "For the coming of the Son of Man will be just like the days of Noah.
[00:59:02.340 --> 00:59:07.140]   For as in those days, before the flood, they were eating and drinking and marrying and giving in
[00:59:07.140 --> 00:59:14.820]   marriage until the day that Noah entered the ark." He said before the greatest judgment and the next
[00:59:14.820 --> 00:59:20.340]   greatest judgment is going to come at the end times. But prior to that, the revelation of the greatest
[00:59:20.340 --> 00:59:28.340]   judgment, he says they don't mention the debauchery or child sacrifice or murder. He said they were just
[00:59:28.340 --> 00:59:32.980]   eating and drinking and marrying because they were unaware of the wrath of God coming.
[00:59:35.060 --> 00:59:42.820]   Just like here, just constant concern for what we will eat, what we will wear, and just constantly
[00:59:42.820 --> 00:59:50.020]   drifting, falling asleep, being concerned about the safety and comfort and our bank account and
[00:59:50.020 --> 00:59:59.060]   health and wealth. And the constant entanglement of civilian affairs is what squashes passion.
[01:00:01.060 --> 01:00:06.100]   It squashes it. We have so many people
[01:00:10.980 --> 01:00:19.780]   who in theory and in doctrine, in what they profess to believe, agree with everything that I say.
[01:00:19.780 --> 01:00:26.980]   You'll probably say, "Amen." A large portion of it. Maybe some of you say like, "I don't know if I
[01:00:26.980 --> 01:00:32.420]   agree with that. I don't think that's the Great Commission." You know, I think it's just, you know, like
[01:00:33.540 --> 01:00:37.860]   comfort. I don't know. Maybe some of you may be thinking that. But I think the majority of you will
[01:00:37.860 --> 01:00:43.940]   agree with me. But what squashes our passion and conviction and boldness
[01:00:43.940 --> 01:00:54.980]   is our entanglement oftentimes with sin. And I know how much pornography has damaged the witness of Christ.
[01:00:58.340 --> 01:01:04.820]   Statistically, Christian or non-Christian, over 90% of men, over 90% struggle with pornography.
[01:01:04.820 --> 01:01:13.300]   In the church, it could be somewhere near there, 50%, 55%. At least that's the survey that we had at one
[01:01:13.300 --> 01:01:19.940]   point. Women are not that far behind because the access to this stuff is so easy. You don't even have
[01:01:19.940 --> 01:01:27.380]   to go look for it because they come looking for you. See, when you are not engaged in the Great
[01:01:27.380 --> 01:01:32.980]   Commission and the work that God calls to, when you struggle with pornography, all you are worried about
[01:01:32.980 --> 01:01:40.980]   is how you feel. You feel guilty. You feel bad. I shouldn't be doing that. Next time I go, I got to
[01:01:40.980 --> 01:01:45.940]   confess to my brothers and I got to do that. But that desire, you don't see the damage that it's doing.
[01:01:49.540 --> 01:01:59.060]   I don't want to watch porn because I have to preach on Sunday. I don't want to watch porn because
[01:01:59.060 --> 01:02:04.420]   the next time I meet somebody and they ask me about Christ, I don't want to be in a situation
[01:02:04.420 --> 01:02:10.180]   where it's going to squash my boldness and conviction. I don't want to put myself in a situation
[01:02:10.180 --> 01:02:16.020]   where I want to see the loss come to Christ, but because I was not ready and I was not sober and I'm living in
[01:02:16.020 --> 01:02:24.660]   guilt that it causes me to be timid in what I believe. I want to live a holy life
[01:02:25.620 --> 01:02:31.700]   so that I may be equipped and ready when the opportunity comes that I can speak with boldness
[01:02:31.700 --> 01:02:39.060]   that this is what I believe. This is why I admire Charlie Kirk so much. He's just a young man since
[01:02:39.060 --> 01:02:45.860]   the age of 18 and the older he got, the more bold he was. He was ready whatever came his way.
[01:02:47.300 --> 01:02:55.940]   I'm inspired by this young man, 31 years old, that he was willing to give his life. You can't do that if
[01:02:55.940 --> 01:03:02.740]   you're entangled. You can't do that if you're constantly living in guilt. I want to challenge you.
[01:03:05.220 --> 01:03:08.580]   I want to challenge you. There's no greater thing that you will be involved with
[01:03:08.580 --> 01:03:16.900]   than to give your life to see other people come to Christ. Have you ever experienced a joy that because
[01:03:16.900 --> 01:03:22.340]   you endured, you prayed, that somebody came to Christ because of you? Not simply a collective effort,
[01:03:22.340 --> 01:03:26.420]   not simply because you are part of a team, but do you know what it feels?
[01:03:28.020 --> 01:03:33.380]   Like when God used you, your words, your perseverance, your aching, your interceding,
[01:03:33.380 --> 01:03:38.740]   your sacrifice, and that person came to Christ because of you. If you taste that joy,
[01:03:38.740 --> 01:03:48.340]   nothing else in this world will compare. You're going to want to do this over and over and over and over again.
[01:03:48.340 --> 01:03:53.780]   You're going to come to the Lord and say, "Lord, make this my inheritance.
[01:03:54.820 --> 01:03:59.060]   Give me the lost." We can't do that when we're not sober.
[01:03:59.060 --> 01:04:03.460]   We can't do that when we're drifting and hiding.
[01:04:03.460 --> 01:04:10.580]   He says, "Stay sober." When the master who has gone to the wedding feast, you don't know when he's
[01:04:10.580 --> 01:04:14.660]   going to return. So when he does return and he's knocking on the door to come in, that you will be
[01:04:14.660 --> 01:04:20.580]   ready to open and to experience this banquet that he's going to come bring with him. Isaiah 40:31,
[01:04:20.580 --> 01:04:25.780]   "Yet those who wait for the Lord will gain new strength." Who will gain new strength? Those who
[01:04:25.780 --> 01:04:31.780]   wait for the Lord. They will mount up with wings like eagles. They will run and not grow weary.
[01:04:31.780 --> 01:04:37.380]   They will walk and not become weary. Who? Who's going to gain strength?
[01:04:37.380 --> 01:04:43.700]   Now people have gathered together and figured out and we have enough accountability. I went to the right
[01:04:43.700 --> 01:04:50.100]   church and said, "No, those who wait for the Lord will gain strength." 1 John 3:2-3, "Beloved,
[01:04:50.100 --> 01:04:54.900]   now we are children of God and it has not appeared as yet what we will be. We know that when he appears,
[01:04:54.900 --> 01:05:00.900]   we will be like him because we will see him just as he is. And everyone who has this hope fixed on him
[01:05:00.900 --> 01:05:07.780]   purifies himself just as he is pure." Our sanctification is directly linked to how often,
[01:05:07.780 --> 01:05:14.580]   how often and how passionately we are waiting for Christ.
[01:05:16.980 --> 01:05:22.980]   And finally, Revelations 3:20, talking to the lukewarm church, the Laodicean church. He said, "I will spit
[01:05:22.980 --> 01:05:27.940]   you out because you are neither hot nor cold." And at the end it says, "I am standing at the door and
[01:05:27.940 --> 01:05:34.100]   knocking, he who hears my voice, and he who hears me knocking, I will, if you open the door, I will come
[01:05:34.100 --> 01:05:37.700]   into him and I will dine with him and he with me. We will have a banquet together."
[01:05:40.260 --> 01:05:45.140]   You know, I've probably officiated, again, like 150 weddings. I've probably been to more than 200
[01:05:45.140 --> 01:05:48.980]   weddings and, you know, one of the most common questions I get is, "Don't you ever get tired?"
[01:05:48.980 --> 01:05:54.660]   I mean, we're in wedding season right now. We have a wedding almost every Saturday, right?
[01:05:54.660 --> 01:06:02.100]   And my honest answer is, "No, it never gets tired." I never come back from a wedding, it's like, "Oh, man,
[01:06:03.220 --> 01:06:11.540]   that was so boring." They said they love each other again. They cut the cake again. They danced again.
[01:06:11.540 --> 01:06:17.300]   No, there's two young people who are meeting each other and that's the beginning of their life and,
[01:06:17.300 --> 01:06:21.220]   you know, Lord willing, they're going to start a family and to be able to witness that, participate
[01:06:21.220 --> 01:06:26.660]   in that, bless that. I've never been to a wedding where I came back and said, "I'll never go there again."
[01:06:26.660 --> 01:06:32.900]   Because it's a banquet. I mean, sometimes things don't work out the way you want it to.
[01:06:32.900 --> 01:06:37.780]   It may not be, you know, things may not be as perfect as, but it's a banquet.
[01:06:37.780 --> 01:06:46.260]   I was invited to a banquet to participate in the beginning of a new life. So it never gets so.
[01:06:46.260 --> 01:06:55.620]   I get excited. I just don't like wearing suits, but other than that, you know, he says when he comes,
[01:06:55.620 --> 01:07:01.140]   he says he's going to participate. Not only are we going to participate, he said the master,
[01:07:01.140 --> 01:07:09.860]   he's going to gird up his loin. He's going to serve us. Wow. Repeatingly over and over again,
[01:07:09.860 --> 01:07:14.740]   the Bible tells us, Isaiah 25:6, "The Lord of hosts will prepare a lavish banquet for all people on the
[01:07:14.740 --> 01:07:20.020]   mountain, a banquet of aged wine, choice pieces of marrow, and refined aged wine." When he comes,
[01:07:20.020 --> 01:07:26.100]   he said he's going to prepare a banqueting table. Psalm 23:5, "You prepare a table before me in the presence of my
[01:07:26.100 --> 01:07:32.420]   enemies. Do I walk through the valley of the shadow of death?" Even in the valley of shadow of death,
